词语, 词性种类, 词义数, 词义序号, 情感分类, 强度, 极性, 辅助情感分类, 强度, 极性, , , 
皱巴, prep, 1.0, 1.0, ND, 9.0, 2.0, , , , , , 
朝不谋夕, idiom, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
逞性子, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
臭名昭彰, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
寸草不生, idiom, 1.0, 1.0, NB, 1.0, 0.0, , , , , , 
哀梨蒸食, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
刀光剑影, idiom, 1.0, 1.0, NC, 3.0, 0.0, , , , , , 
度量小, prep, 1.0, 1.0, NN, 7.0, 2.0, ND, 3.0, 2.0, , , 
翻云覆雨, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
风刀霜剑, idiom, 1.0, 1.0, NB, 3.0, 0.0, , , , , , 
腐化堕落, idiom, 1.0, 1.0, NN, 9.0, 2.0, ND, 5.0, 2.0, , , 
高不成低不就, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
孤单单, adj, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
寡断, adj, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
乖剌, adj, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
含糊不清, idiom, 1.0, 1.0, NN, 5.0, 2.0, NE, 3.0, 2.0, , , 
毫不客气, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
黑森森, adj, 1.0, 1.0, NC, 5.0, 0.0, NE, 3.0, 2.0, , , 
胡子拉碴, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
荒诞派, noun, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
荒淫无度, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
灰蒙蒙, adj, 1.0, 1.0, NE, 1.0, 0.0, , , , , , 
智能型, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
晦暝, adj, 1.0, 1.0, NC, 7.0, 2.0, NN, 3.0, 2.0, , , 
谆谆, adj, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
昏黑, adj, 1.0, 1.0, NE, 3.0, 2.0, , , , , , 
铮亮, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
鸾凤和鸣, idiom, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
板脸, verb, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
抱疚, adj, 1.0, 1.0, NH, 3.0, 2.0, , , , , , 
憋着一肚子气, idiom, 1.0, 1.0, NE, 7.0, 2.0, , , , , , 
愁惨, adj, 1.0, 1.0, NE, 5.0, 2.0, , , , , , 
错愕, verb, 1.0, 1.0, PC, 7.0, 2.0, , , , , , 
掉魂, verb, 1.0, 1.0, NE, 7.0, 2.0, , , , , , 
发牢骚, verb, 1.0, 1.0, NE, 3.0, 2.0, , , , , , 
烦神, adj, 1.0, 1.0, NE, 5.0, 2.0, , , , , , 
忿忿不平, adj, 1.0, 1.0, NA, 5.0, 2.0, , , , , , 
惶然不安, idiom, 1.0, 1.0, NC, 5.0, 2.0, NI, 3.0, 2.0, , , 
急死, adj, 1.0, 1.0, NE, 7.0, 2.0, , , , , , 
介意, adj, 1.0, 1.0, NE, 3.0, 0.0, , , , , , 
举棋不定, idiom, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
口诛笔伐, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
拉不下脸来, adj, 1.0, 1.0, NE, 3.0, 0.0, , , , , , 
骂得狗血喷头, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
怒火冲天, idiom, 1.0, 1.0, NA, 7.0, 0.0, , , , , , 
气愤愤, adj, 1.0, 1.0, NA, 5.0, 0.0, , , , , , 
歉然, verb, 1.0, 1.0, NN, 3.0, 0.0, , , , , , 
人身攻击, noun, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
数落, verb, 1.0, 1.0, NN, 3.0, 0.0, , , , , , 
痛责, verb, 1.0, 1.0, NN, 5.0, 0.0, , , , , , 
下不了台, adj, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
杏眼圆睁, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
讶然失色, idiom, 1.0, 1.0, PC, 7.0, 0.0, , , , , , 
怔神儿, adj, 1.0, 1.0, PC, 3.0, 0.0, , , , , , 
追悔莫及, idiom, 1.0, 1.0, NH, 7.0, 0.0, , , , , , 
彷徨, verb, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
爱上, verb, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
高山仰止, idiom, 1.0, 1.0, PD, 7.0, 0.0, , , , , , 
恨不得, verb, 1.0, 1.0, NE, 7.0, 0.0, , , , , , 
祭拜, verb, 1.0, 1.0, PD, 5.0, 0.0, , , , , , 
敬服, verb, 1.0, 1.0, PD, 5.0, 0.0, , , , , , 
看上眼, adj, 1.0, 1.0, PB, 3.0, 0.0, , , , , , 
梦魂萦绕, idiom, 1.0, 1.0, PF, 7.0, 0.0, , , , , , 
安好, adj, 1.0, 1.0, PE, 1.0, 1.0, , , , , , 
如痴如狂, idiom, 1.0, 1.0, PB, 7.0, 0.0, , , , , , 
安泰, adj, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
叹为观止, idiom, 1.0, 1.0, PC, 7.0, 1.0, , , , , , 
忘乎所以, idiom, 1.0, 1.0, NN, 5.0, 0.0, , , , , , 
尖嘴薄舌, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
艰苦卓绝, idiom, 1.0, 1.0, PH, 7.0, 1.0, PG, 3.0, 1.0, , , 
心如铁石, idiom, 1.0, 1.0, NN, 7.0, 2.0, NE, 3.0, 2.0, , , 
见风转舵, idiom, 1.0, 1.0, NN, 7.0, 2.0, ND, 5.0, 2.0, , , 
叩拜, verb, 1.0, 1.0, PD, 5.0, 0.0, , , , , , 
倍儿棒, adj, 1.0, 1.0, PH, 7.0, 1.0, PB, 5.0, 1.0, , , 
竭蹶, prep, 1.0, 1.0, NE, 7.0, 0.0, , , , , , 
彪壮, adj, 1.0, 1.0, ND, 1.0, 0.0, , , , , , 
博闻广识, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
不动摇, prep, 1.0, 1.0, PH, 1.0, 0.0, , , , , , 
不落俗套, idiom, 1.0, 1.0, PH, 5.0, 1.0, NN, 1.0, 2.0, , , 
可骇, adj, 1.0, 1.0, NC, 9.0, 2.0, , , , , , 
不泄气, adj, 1.0, 1.0, PH, 1.0, 1.0, NN, 1.0, 2.0, , , 
才气横溢, idiom, 1.0, 1.0, PH, 7.0, 1.0, NN, 1.0, 2.0, , , 
空落落, adj, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
枯寂, adj, 1.0, 1.0, NN, 5.0, 2.0, NB, 5.0, 2.0, , , 
苦口, adj, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
狂恣, adj, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
老辣, adj, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
肋脦, adj, 1.0, 1.0, NN, 7.0, 2.0, ND, 5.0, 2.0, , , 
哩哩罗罗, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
凛然, adj, 1.0, 1.0, PH, 7.0, 1.0, PD, 3.0, 1.0, , , 
伶仃, adj, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
令人厌倦, idiom, 1.0, 1.0, NN, 7.0, 2.0, NE, 7.0, 2.0, , , 
碌碌无为, idiom, 1.0, 1.0, NN, 7.0, 2.0, ND, 5.0, 2.0, , , 
马马虎虎, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
莽莽撞撞, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
没骨头, prep, 1.0, 1.0, NN, 7.0, 2.0, ND, 3.0, 2.0, , , 
没两下子, idiom, 1.0, 1.0, NN, 7.0, 2.0, ND, 3.0, 2.0, , , 
没心眼儿, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
迷糊, adj, 1.0, 1.0, NE, 5.0, 0.0, NN, 3.0, 2.0, , , 
模棱两可, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
少见多怪, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
难上难, adj, 1.0, 1.0, NE, 5.0, 2.0, , , , , , 
一塌糊涂, adj, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
只顾自身利益, adj, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
一个心眼儿, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
一级, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
有头脑, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
欣欣向荣, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
难驯服, prep, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
闹闹嚷嚷, idiom, 1.0, 1.0, NN, 7.0, 2.0, NE, 5.0, 2.0, , , 
贫寒, adj, 1.0, 1.0, NB, 3.0, 0.0, , , , , , 
铺张浪费, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
奇丑无比, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
气壮如牛, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
清苦, adj, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
穷途潦倒, idiom, 1.0, 1.0, NN, 7.0, 2.0, NB, 3.0, 2.0, , , 
缺乏幽默, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
弱智, adj, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
色迷迷, adj, 1.0, 1.0, NN, 9.0, 2.0, ND, 5.0, 2.0, , , 
傻里傻气, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
神不知，鬼不觉, idiom, 1.0, 1.0, NN, 3.0, 0.0, , , , , , 
失落, adj, 1.0, 1.0, NA, 7.0, 0.0, NB, 7.0, 2.0, , , 
食古不化, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
喧天, prep, 1.0, 1.0, NE, 9.0, 2.0, , , , , , 
丰姿绰约, idiom, 1.0, 1.0, PH, 5.0, 1.0, PB, 3.0, 1.0, , , 
捉摸不定, idiom, 1.0, 1.0, NN, 9.0, 2.0, PH, 1.0, 1.0, , , 
特等, adj, 1.0, 1.0, PA, 5.0, 0.0, PH, 9.0, 1.0, , , 
肝胆过人, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
高档化, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
高深莫测, idiom, 1.0, 1.0, PH, 1.0, 0.0, , , , , , 
革命性, noun, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
功德无量, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
古朴, adj, 1.0, 1.0, PB, 3.0, 1.0, PH, 1.0, 1.0, , , 
过得硬, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
很有抱负, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
数一数二, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
花容月貌, idiom, 1.0, 1.0, PH, 5.0, 1.0, PB, 3.0, 1.0, , , 
受吃, adj, 1.0, 1.0, PB, 3.0, 1.0, , , , , , 
史无前例, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
圣礼, noun, 1.0, 1.0, PD, 9.0, 0.0, , , , , , 
滑天下之大稽, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
生死不渝, idiom, 1.0, 1.0, PH, 7.0, 0.0, , , , , , 
深入人心, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
擅场, verb, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
上赶, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
井然有序, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
举足轻重, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
人寿年丰, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
俊俏, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
确凿无疑, idiom, 1.0, 1.0, PG, 9.0, 0.0, , , , , , 
确定, adj, 1.0, 1.0, PG, 9.0, 0.0, , , , , , 
老成练达, idiom, 1.0, 1.0, PH, 3.0, 3.0, NN, 1.0, 3.0, , , 
鼠胆, adj, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
强势, adj, 1.0, 1.0, PH, 1.0, 0.0, , , , , , 
浅显, adj, 1.0, 1.0, NN, 1.0, 0.0, , , , , , 
心胸狭隘, idiom, 1.0, 1.0, NN, 9.0, 2.0, ND, 3.0, 2.0, , , 
性格内向, idiom, 1.0, 1.0, NN, 9.0, 2.0, NB, 1.0, 2.0, , , 
千姿百态, idiom, 1.0, 1.0, PH, 7.0, 1.0, PB, 5.0, 1.0, , , 
气度恢宏, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
起眼儿, prep, 1.0, 1.0, PH, 1.0, 0.0, , , , , , 
越轨, prep, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
令人大开眼界, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
完美无疵, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
朴实无华, adj, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
无上光荣, idiom, 1.0, 1.0, PH, 9.0, 1.0, PB, 3.0, 1.0, , , 
有嘴无心, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
逸乐, prep, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
心宽, prep, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
无污染, prep, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
无拘束, prep, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
闻过则喜, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
谈吐不俗, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
名副其实, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
喷香, adj, 1.0, 1.0, PB, 3.0, 1.0, PH, 3.0, 1.0, , , 
哀莫大于心死, idiom, 1.0, 1.0, NB, 9.0, 2.0, , , , , , 
安邦定国, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
金瓯无缺, idiom, 1.0, 1.0, PH, 7.0, 1.0, PE, 9.0, 1.0, , , 
我武惟扬, idiom, 1.0, 1.0, PH, 9.0, 1.0, PE, 5.0, 1.0, , , 
乃心王室, idiom, 1.0, 1.0, PH, 9.0, 1.0, PE, 5.0, 1.0, , , 
尽忠报国, idiom, 1.0, 1.0, PH, 9.0, 1.0, PE, 5.0, 1.0, , , 
杀身报国, idiom, 1.0, 1.0, PH, 9.0, 1.0, PE, 5.0, 1.0, , , 
忧国忘身, idiom, 1.0, 1.0, PH, 9.0, 1.0, PE, 5.0, 1.0, , , 
济世经邦, idiom, 1.0, 1.0, PH, 9.0, 1.0, PE, 5.0, 1.0, , , 
